Transect,Biomass_g,MAD_mm,Length_mm,Angle_degree,Abundance,Latitude,Longitude,Management,Aspect,Bathymetry,BPI,BPI_240,Cos_aspect,Dist_shore,Planar_curvature,CCA_cover,Coral_cover,Macroalgae_cover,Soft_cover,Turf_cover,Profile_curvature,Proximity_index,Diversity,Sin_aspect,Slope,Slope_240,Slope_of_slope,Slope_of_slope_240,Wave_power,Site
PUP138,45.64758657,517.1303667,198.1497083,14.30733333,24,21.668,-158.05478,0,1.48492,-11.4104004,0.205343,-0.691717,0.627678,377.2189941,-0.232788,0,0,0,0,100,0.0433531,0,0,-0.578382,2.78932,15.8453999,9.2910404,53.4841995,15739,PUP
PUP139,101.6609566,375.0994405,237.0499189,12.44718919,37,21.66818,-158.05228,0,0.913312,-6.0890498,0.342123,0.573731,0.847987,254.3630066,0.879546,0,0,0,0,100,-0.048182,0,0,-0.516473,2.7147901,9.3532696,5.0751801,35.169899,15630.90039,PUP
PUP148,0,NA,NA,NA,1,21.6612,-158.05858,0,0.402239,-4.9960499,0.0146539,1.43524,0.69606,151.1649933,1.31422,0,0,0,0,100,-0.008942,0,0,-0.71613,3.0871501,18.9855003,6.1525698,55.403801,16309.59961,PUP
PUP201,48.78981697,486.0217857,236.5640952,16.39652381,21,21.64908,-158.06487,1,1.2202801,-5.73909,0.261045,1.48051,0.384733,64.9049988,1.29391,0,4.5365901,69.1399994,9.6737604,14.2999001,-0.125554,0.535324,0.67966,-0.908169,4.6143498,25.5732002,16.6110001,64.3899994,15518.40039,PUP
PUP202,0,NA,NA,NA,1,21.62805,-158.07643,0,1.32451,-1.08334,0.049995,1.2701,0.228623,107.4550018,1.2112401,0,0,99.1156998,0,0,-0.0054534,0,0,-0.545354,0.739433,14.5469999,2.5924799,49.0667,10774.2998,PUP
PUP203,2.217327825,748.32495,179.9765,17.4395,2,21.62617,-158.07879,0,0.743717,-2.4961801,0.0500143,0.126039,0.479748,135.8179932,-0.782658,0,0,98.2133026,1.2934099,0,0.0139742,0.172354,0.0485485,-0.138167,1.77288,7.16471,5.2431302,26.6627007,10865.59961,PUP
PUP204,0,NA,NA,NA,1,21.62854,-158.07785,0,0.665976,-2.93139,0,0.304339,0.900996,256.5069885,0.287102,0,0,100,0,0,-0.0169683,0,0,-0.283667,1.02889,14.1241999,3.2168,47.8848,10651.59961,PUP
PUP206,0.120975588,268.8587,174.621,21.62,1,21.62966,-158.07406,0,0.440924,-0.632265,0.502965,1.75315,0.889097,63.4276009,-1.53195,0,0,63.0639,0,0,0.189938,0,0,-0.28563,2.17272,13.4722004,5.1388402,47.1244011,11724.40039,PUP
PUP207,1.710072857,268.5404,194.3496667,12.63866667,3,21.62562,-158.07769,0,0.346346,-0.780504,0.549082,1.35899,0.8698,60,-1.91137,0,0,64.5398026,0,0,0.298503,0.0535024,0,-0.493104,2.49913,7.16471,6.3294802,26.6627007,10753.7998,PUP
PUP304,0,NA,NA,NA,1,21.65813,-158.06092,0,0.515454,-5.1863899,0.226746,2.9779799,0.343495,128.9290009,-0.0183971,0,0,0.287834,0,99.7121964,-0.0940545,0.0054842,0.0108467,-0.91968,3.21141,25.4624996,6.9507799,65.0794983,16031.7002,PUP
